物件名,カテゴリー,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,面積,23区,都市名,路線,最寄駅,徒歩
（仮称）柴又3丁目貸家（3号地）,賃貸一戸建て,0,2,1,190000.0,0.0,190000.0,0.0,2LDK,79.33,葛飾区,柴又３,京成金町線,柴又駅,4
（仮称）柴又3丁目貸家（3号地）,賃貸一戸建て,0,2,1,190000.0,0.0,190000.0,0.0,2LDK,79.33,葛飾区,柴又３,京成金町線,柴又駅,4
グラン・エスポワール,賃貸マンション,9,8,7,72000.0,5000.0,72000.0,108000.0,1K,25.16,荒川区,東尾久３,日暮里・舎人ライナー,熊野前駅,2
ユーベルジュ,賃貸マンション,22,13,4,119000.0,16000.0,119000.0,119000.0,2SLDK,59.59,台東区,日本堤２,東京メトロ日比谷線,三ノ輪駅,8
Casa　Bianca,賃貸アパート,3,2,1,122000.0,2000.0,122000.0,244000.0,2LDK,46.65,北区,志茂５,東京メトロ南北線,志茂駅,6
セレーナあらかわ遊園,賃貸アパート,11,2,1,66000.0,3500.0,0.0,66000.0,1K,21.99,荒川区,西尾久６,ＪＲ高崎線,尾久駅,11
東急大井町線 緑が丘駅 3階建 築2年,賃貸アパート,2,3,2,123000.0,4300.0,0.0,0.0,1LDK,33.7,目黒区,緑が丘３,東急大井町線,緑が丘駅,4
東急大井町線 緑が丘駅 3階建 築2年,賃貸アパート,2,3,3,150000.0,4300.0,0.0,150000.0,1LDK,41.98,目黒区,緑が丘３,東急大井町線,緑が丘駅,4
京成押上線 八広駅 12階建 築1年,賃貸マンション,1,12,11,164000.0,10000.0,164000.0,0.0,2LDK,49.07,墨田区,八広６,京成押上線,八広駅,6
京成押上線 八広駅 12階建 築1年,賃貸マンション,1,12,12,164000.0,10000.0,164000.0,0.0,2LDK,49.07,墨田区,八広６,京成押上線,八広駅,6
ゼファー四つ木ザナドゥ21,賃貸マンション,21,14,3,129000.0,7300.0,129000.0,129000.0,2LDK,60.9,葛飾区,四つ木４,京成押上線,四ツ木駅,11
ゼファー四つ木ザナドゥ21,賃貸マンション,21,14,3,142000.0,8000.0,142000.0,142000.0,3LDK,67.5,葛飾区,四つ木４,京成押上線,四ツ木駅,11
ゼファー四つ木ザナドゥ21,賃貸マンション,21,14,5,142000.0,8100.0,142000.0,142000.0,3LDK,67.5,葛飾区,四つ木４,京成押上線,四ツ木駅,11
グランコート目黒鷹番,賃貸マンション,4,3,2,142000.0,3100.0,71000.0,142000.0,1LDK,37.13,目黒区,鷹番１,東急東横線,学芸大学駅,8
ユアパーク,賃貸マンション,19,5,3,84000.0,5000.0,84000.0,0.0,ワンルーム,30.75,荒川区,南千住５,つくばエクスプレス,南千住駅,4
ユアパーク,賃貸マンション,19,5,3,85000.0,5000.0,85000.0,0.0,ワンルーム,30.75,荒川区,南千住５,つくばエクスプレス,南千住駅,4
フジマンション第2,賃貸マンション,34,11,10,119000.0,14000.0,119000.0,119000.0,3SDK,64.26,江戸川区,西葛西６,東京メトロ東西線,西葛西駅,2
フジマンション第2,賃貸マンション,34,11,10,122000.0,14000.0,122000.0,122000.0,3SDK,64.26,江戸川区,西葛西６,東京メトロ東西線,西葛西駅,2
フジマンション第2,賃貸マンション,34,11,6,123000.0,14000.0,123000.0,123000.0,3LDK,66.78,江戸川区,西葛西６,東京メトロ東西線,西葛西駅,2
メルベーユ,賃貸アパート,5,3,2,96000.0,6000.0,0.0,48000.0,1LDK,45.46,足立区,西新井１,東武伊勢崎線,西新井駅,14
メルベーユ,賃貸アパート,5,3,3,98000.0,6000.0,0.0,49000.0,1LDK,45.32,足立区,西新井１,東武伊勢崎線,西新井駅,14
セリオ落合東中野,賃貸マンション,8,10,2,98000.0,0.0,98000.0,98000.0,1K,25.29,中野区,東中野５,東京メトロ東西線,落合駅,7
セリオ落合東中野,賃貸マンション,8,10,4,100000.0,0.0,100000.0,100000.0,1K,25.37,中野区,東中野５,東京メトロ東西線,落合駅,7
セリオ落合東中野,賃貸マンション,8,10,4,100000.0,0.0,100000.0,100000.0,1K,25.37,中野区,東中野５,東京メトロ東西線,落合駅,7
セリオ落合東中野,賃貸マンション,8,10,5,188000.0,0.0,188000.0,188000.0,2LDK,50.58,中野区,東中野５,東京メトロ東西線,落合駅,7
セリオ落合東中野,賃貸マンション,8,10,9,189000.0,0.0,189000.0,189000.0,1LDK,50.58,中野区,東中野５,東京メトロ東西線,落合駅,7
セリオ落合東中野,賃貸マンション,8,10,9,190000.0,0.0,190000.0,190000.0,2LDK,50.58,中野区,東中野５,東京メトロ東西線,落合駅,7
ハーモニーテラス西尾久,賃貸アパート,5,2,1,53000.0,4000.0,0.0,53000.0,ワンルーム,11.05,荒川区,西尾久８,ＪＲ宇都宮線,尾久駅,9
